City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
518,Tarbes,FR,77.11,overcast clouds,43.25,0.1667,Quelle Vue (Gite Rural)
520,Waingapu,ID,76.19,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
523,Cabadiangan,PH,78.44,light rain,9.7531,122.4739,Kipot
527,Akyab,MM,79.7,scattered clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
528,Mangochi,MW,78.62,overcast clouds,-14.4782,35.2645,Fort Johnstone Hotel
535,Praia Da Vitoria,PT,79.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
536,Naze,JP,81.52,scattered clouds,28.3667,129.4833,Shishime Hotel
547,Hambantota,LK,78.35,broken clouds,6.1241,81.1185,Bungalow 63
553,Pahrump,US,83.32,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
554,Sao Joao De Pirabas,BR,84.85,scattered clouds,-0.7747,-47.1772,POUSADA SOL E MAR
556,Ocos,GT,86.18,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
557,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
560,Trairi,BR,83.66,clear sky,-3.2778,-39.2689,janelas do mar
565,Russell,US,83.91,clear sky,32.3502,-85.1999,Macs
570,Huron,US,76.96,few clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
575,Celestun,MX,86.41,overcast clouds,20.8667,-90.4,Posada Lilia
577,Wapi Pathum,TH,82.33,heavy intensity rain,15.8452,103.3768,Nayai Resort
587,Yenagoa,NG,76.53,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
594,Lincoln,US,87.15,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
595,Kilindoni,TZ,76.19,clear sky,-7.9139,39.6668,Bustani B&B
596,Sajanan,TN,79.72,light rain,37.0573,9.2426,Mine de Dhoihria
598,San Policarpo,PH,79.11,moderate rain,12.1791,125.5072,Agapita M. Nicart
602,Claremore,US,85.41,clear sky,36.3126,-95.6161,Super 8 by Wyndham Claremore OK
603,Luganville,VU,77.56,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
605,Danville,US,80.29,scattered clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
606,Clearwater,US,89.92,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
612,Mahajanga,MG,82.42,scattered clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
615,San Juan,AR,81.1,scattered clouds,-31.5375,-68.5364,Hotel Provincial
624,Carbonia,IT,85.15,overcast clouds,39.1672,8.5222,Lu 'Hotel
626,Soto La Marina,MX,87.98,clear sky,23.7667,-98.2167,Hotel Chicago
628,Cravo Norte,CO,89.38,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
629,Progreso,MX,89.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
630,Snyder,US,86.32,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
631,Muroto,JP,79.56,overcast clouds,33.2833,134.15,Oota Ryokan
644,Hirado,JP,75.38,clear sky,33.3597,129.5531,Samson Hotel
649,Tibiri,NE,89.94,heavy thunderstorm,13.5627,7.0485,FADA GAO FA TIBIRI
651,Wanning,CN,79.43,clear sky,18.8003,110.3967,Paradise Hotel
653,Itacare,BR,79.03,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
657,Tomatlan,MX,87.84,broken clouds,19.9333,-105.25,El Salvial
658,Natal,BR,86.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
662,Mana,GF,87.96,overcast clouds,5.6592,-53.7767,LE SAMANA
667,Puerto Narino,CO,81.01,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
669,Cururupu,BR,83.48,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
670,Takoradi,GH,77.18,broken clouds,4.8845,-1.7554,Raybow International Hotel
671,Anastacio,BR,78.71,overcast clouds,-20.4836,-55.8069,HOTEL ARARAS
678,Vaitape,PF,77.22,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
679,Bubaque,GW,80.74,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
680,Humberto De Campos,BR,88.32,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
681,Tarboro,US,82.78,scattered clouds,35.8968,-77.5358,SureStay Plus Hotel Tarboro by Best Western
683,Weligama,LK,76.89,scattered clouds,5.9667,80.4167,Weligama Bay Resort
687,Payette,US,79.29,clear sky,44.0782,-116.9338,Payette Motel
