City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Texarkana,US,2022-09-14 15:36:21,33.4251,-94.0477,78.4,66,0,4.61
146,Siwana,IN,2022-09-14 15:37:58,25.6333,72.4167,88.66,59,84,3.31
147,Krasnoselkup,RU,2022-09-14 15:37:58,65.7,82.4667,44.56,96,99,10.13
148,Pevek,RU,2022-09-14 15:37:58,69.7008,170.3133,33.75,99,100,8.5
149,Saryozek,KZ,2022-09-14 15:37:59,44.3583,77.9753,49.77,34,0,10.63
150,Ilulissat,GL,2022-09-14 15:37:59,69.2167,-51.1,48.22,76,75,8.05
151,Tasiilaq,GL,2022-09-14 15:37:59,65.6145,-37.6368,39.36,68,65,4.07
152,Zaoyang,CN,2022-09-14 15:38:00,32.1272,112.7542,69.78,45,0,6.82
153,La Ronge,CA,2022-09-14 15:38:00,55.1001,-105.2842,53.85,66,100,8.05
154,Punta Arenas,CL,2022-09-14 15:38:00,-53.15,-70.9167,42.91,56,0,14.97
155,Tuktoyaktuk,CA,2022-09-14 15:38:01,69.4541,-133.0374,33.8,86,75,16.11
156,Airai,TL,2022-09-14 15:38:01,-8.9266,125.4092,58.62,66,95,2.89
